kiwi,eng,kiwi,pl
grape,eng,winogrono,pl
blackberry,eng,jeżyna,pl
raspberry,eng,mailna,pl
blackcurrant,eng,czarna pożeczka,pl
lemon,eng,cytryna,pl
pineapple,eng,ananas,pl
grapefruit,eng,grejpfrut,pl
watermelon,eng,arbuz,pl
melon,eng,melon,pl
pear,eng,gruszka,pl
peach,eng,brzoskwinia,pl
beach,eng,plaża,pl
tomato,eng,pomidor,pl
pomegranate,eng,granat,pl
carrot,eng,marchewka,pl
potato,eng,ziemniak,pl
corn,eng,kukurydza,pl
broccoli,eng,brokuł,pl
garlic,eng,czosnek,pl
onion,eng,cebula,pl
pumpkin,eng,dynia,pl
pepper,eng,papryka,pl
cucumber,eng,orórek,pl
beet,eng,burak,pl
zuccichni,eng,cukinia,pl
pasta,eng,makaron,pl
chiken,eng,kurczak,pl
beef,eng,wołowina,pl
pork,eng,wieprzowina,pl
lumb,eng,jagnięcina,pl
mutton,eng,baranina,pl
pancake,eng,naleśnik,pl
door,eng,drzwi,pl
window,eng,okno,pl
widow,eng,wdowa,pl
witch,eng,wiedźma,pl
sand,eng,piasek,pl
sandwich,eng,kanapka,pl
witcher,eng,wiedźmin,pl
fairy,eng,wróżka,pl
tooth,eng,ząb,pl
moneta,eng,coin,pl
paper,eng,papier,pl
update,eng,aktualizacja,pl
chair,eng,krzesło,pl
hair,eng,włosy,pl
eye,eng,oko,pl
nose,eng,nos,pl
forehead,eng,czoło,pl
back,eng,plecy,pl
keyboard,eng,klawiatura,pl
mouse,eng,mysz,pl
rat,eng,szczur,pl
zebra,eng,zebra,pl
elephant,eng,słoń,pl
dog,eng,pies,pl
cat,eng,kot,pl
bull,eng,byk,pl
cow,eng,krowa,pl
pig,eng,świnia,pl
boar,eng,dzik,pl
tutrle,eng,żółw,pl
bird,eng,ptak,pl
eagle,eng,orzeł,pl
pigeon,eng,gołąb,pl
falcon,eng,sokół,pl
hawk,eng,jastrząb,pl
lion,eng,lew,pl
tiger,eng,tygrys,pl
wall,eng,ściana,pl
hamster,eng,chomik,pl
baloon,eng,balon,pl
stone,eng,kamień,pl
iron,eng,żelazo,pl
metal,eng,metal,pl
wood,eng,drewno,pl
tree,eng,drzewo,pl
pug,eng,mops,pl
giraffe,eng,żyrafa,pl
cheetach,eng,gepard,pl
fish,eng,ryba,pl
crocodile,eng,krokodyl,pl
shark,eng,rekin,pl
airplane,eng,samolot,pl
car,eng,samochód,pl
shoe,eng,but,pl
highway,eng,autostrada,pl
city,eng,miasto,pl
yellow,eng,żółty,pl
red,eng,czerwony,pl
black,eng,czarny,pl
brown,eng,brązowy,pl
blue,eng,niebieski,pl
wiśnia,pl,cherry,eng
pomarańcza,pl,cos,eng
pomaracza,pl,oragnaga,eng
desk,eng,biurko,pl
